ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,162.247.241.14,157.138.24.107,443,52284,TCP,...AP.S.,0,0,16,2324,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:10.445
2022-09-01 00:21:00,2022-09-01 00:21:00,0.000,142.250.184.46,157.138.110.111,443,43674,TCP,...AP...,0,0,34,5220,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.384
2022-09-01 00:21:01,2022-09-01 00:22:11,70.000,142.250.184.74,157.138.110.168,443,60510,TCP,...AP...,0,0,30,2226,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.389
2022-09-01 00:21:01,2022-09-01 00:21:01,0.000,52.95.115.255,157.138.32.196,443,47488,TCP,...AP...,0,0,11,5802,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.077
2022-09-01 00:21:01,2022-09-01 00:22:09,68.000,178.162.209.166,157.138.32.196,443,60066,TCP,...AP...,0,4,54,55026,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.020
2022-09-01 00:21:01,2022-09-01 00:22:09,68.000,142.250.184.46,157.138.162.213,443,63453,UDP,........,0,0,291,35347,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.063
2022-09-01 00:21:01,2022-09-01 00:21:01,0.000,167.99.197.75,157.138.20.174,15517,23,TCP,......S.,0,0,4,200,0,0,9,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,4,2022-09-01 00:22:16.917
2022-09-01 00:21:01,2022-09-01 00:22:31,90.000,194.138.37.194,157.138.198.111,443,64511,TCP,...AP...,0,4,4,560,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.393
2022-09-01 00:21:01,2022-09-01 00:21:01,0.000,142.250.184.35,157.138.5.150,443,50832,TCP,...AP...,0,0,77,8140,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.020
2022-09-01 00:21:01,2022-09-01 00:21:01,0.000,35.186.228.49,157.138.22.6,443,40442,TCP,...AP...,0,0,17,3472,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.364
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,142.250.184.106,157.138.5.150,443,34418,TCP,...AP...,0,0,18,1534,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.049
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,142.250.180.174,157.138.110.230,443,55414,TCP,...AP...,0,0,49,9878,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.393
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,162.125.19.131,157.138.24.28,443,64050,TCP,...APR..,0,0,9,778,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.364
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,37.160.177.201,157.138.7.88,60741,443,TCP,...AP.SF,0,0,13,2613,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.030
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,93.47.36.131,157.138.199.20,5510,4500,UDP,........,0,0,16,1928,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.22.0.20,0/0,3,2022-09-01 00:22:04.364
2022-09-01 00:21:02,2022-09-01 00:21:02,0.000,130.186.81.138,157.138.101.232,5555,64671,TCP,...AP...,0,0,30,7490,0,0,82,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,172.21.0.10,0/0,1,2022-09-01 00:22:02.082
