sp   ,dp   ,pr,fwd,stos,ipkt ,ibyt    ,opkt,obyt,sas,das,dtos,dir,ts_month,ts_day,ts_hour,ts_minute,ts_second,ts_msecond,te_month,te_day,te_hour,te_minute,te_second,te_msecond,tr_month,tr_day,tr_hour,tr_minute,tr_second,tr_msecond,sa1,sa2,sa3,sa4,da1,da2,da3,da4,flg_ACK,flg_PSH,flg_RST,flg_SYN,flg_FIN,sp_is_privileged,dp_is_privileged
443  ,54013,1 ,0  ,2   ,9    ,7203    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,44       ,0         ,8       ,31    ,14     ,55       ,44       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,13 ,89 ,179,9  ,157,138,187,200,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,51551,1 ,0  ,0   ,18   ,6823    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,44       ,0         ,8       ,31    ,14     ,55       ,44       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,216,239,34 ,36 ,157,138,167,148,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,51053,1 ,0  ,0   ,14   ,11202   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,51 ,11 ,118,111,157,138,167,164,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,59876,2 ,0  ,0   ,9    ,3215    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,35 ,157,138,167,94 ,0      ,0      ,0      ,0      ,0      ,1               ,0
443  ,38088,1 ,0  ,0   ,11   ,1858    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,106,157,138,166,156,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,61733,1 ,0  ,0   ,3    ,621     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,20 ,42 ,72 ,131,157,138,167,139,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,58560,1 ,0  ,0   ,2    ,106     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,55       ,45       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,13 ,69 ,48 ,193,157,138,165,176,1      ,0      ,1      ,0      ,0      ,1               ,0
443  ,64072,1 ,0  ,2   ,8    ,7041    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,52 ,98 ,168,178,157,138,165,200,1      ,1      ,0      ,1      ,0      ,1               ,0
443  ,57841,1 ,0  ,0   ,39   ,19654   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,216,58 ,209,37 ,157,138,186,125,1      ,1      ,0      ,0      ,0      ,1               ,0
2703 ,57780,1 ,0  ,0   ,6    ,529     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,55       ,46       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,208,83 ,137,118,157,138,20 ,12 ,1      ,1      ,1      ,1      ,0      ,0               ,0
443  ,42324,1 ,0  ,0   ,10   ,6310    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,35 ,186,228,49 ,157,138,22 ,6  ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,63878,1 ,0  ,0   ,5    ,307     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,18 ,66 ,218,90 ,157,138,12 ,93 ,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,46111,2 ,0  ,0   ,11   ,5574    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,157,240,231,15 ,157,138,166,6  ,0      ,0      ,0      ,0      ,0      ,1               ,0
443  ,55148,2 ,0  ,0   ,23   ,5405    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,180,142,157,138,167,3  ,0      ,0      ,0      ,0      ,0      ,1               ,0
443  ,51695,1 ,0  ,0   ,4    ,464     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,55       ,47       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,157,240,231,60 ,157,138,110,26 ,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,54694,1 ,0  ,0   ,3    ,223     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,251,10 ,100,157,138,12 ,38 ,1      ,1      ,0      ,0      ,1      ,1               ,0
443  ,60836,2 ,0  ,0   ,9    ,2916    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,106,157,138,176,181,0      ,0      ,0      ,0      ,0      ,1               ,0
443  ,53030,1 ,0  ,0   ,10   ,8419    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,20 ,73 ,130,64 ,157,138,24 ,32 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,53772,1 ,0  ,4   ,18   ,10703   ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,55       ,48       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,248,248,6  ,157,138,185,31 ,1      ,1      ,0      ,1      ,0      ,1               ,0
