,stos,tr_minute,sa1,flg_ACK,tr_month,ts_msecond,te_minute,tr_msecond,obyt,pr,te_second,sa4,tr_hour,sp   ,flg_PSH,tr_second,sa3,da1,ipkt ,dir,te_hour,sa2,flg_SYN,flg_FIN,ts_second,opkt,fwd,da2,outlier,da3,te_day,te_month,flg_RST,te_msecond,ts_month,tr_day,ibyt    ,das,ts_minute,ts_day,da4,ts_hour,sas,sp_is_privileged,dp_is_privileged,dp   ,dtos
75,0,57,34,1,8,0,55,0,0,1,51,227,14,443,1,1,211,157,9,0,14,149,1,1,51,0,0,138,0,184,31,8,0,0,8,31,4714,0,55,31,70,14,0,1,0,50440,0
76,0,57,157,1,8,0,55,0,0,1,51,15,14,443,1,1,231,157,14,0,14,240,0,0,51,0,0,138,0,60,31,8,0,0,8,31,854,0,55,31,71,14,0,1,0,51604,0
77,0,57,92,1,8,0,55,0,0,1,51,90,14,443,0,1,125,157,8,0,14,122,1,0,51,0,0,138,0,184,31,8,0,0,8,31,456,0,55,31,163,14,0,1,0,63870,0
78,0,57,142,1,8,0,55,0,0,1,51,35,14,443,1,1,209,157,13,0,14,251,0,0,51,0,0,138,0,107,31,8,0,0,8,31,1176,0,55,31,35,14,0,1,0,64939,0
79,0,57,67,1,8,0,55,0,0,1,52,139,14,443,0,1,226,157,2,0,14,220,0,0,52,0,0,138,0,167,31,8,1,0,8,31,100,0,55,31,34,14,0,1,0,51068,0
80,0,57,20,1,8,0,55,0,0,1,52,238,14,443,1,1,97,157,14,0,14,47,1,1,52,0,0,138,0,165,31,8,0,0,8,31,5162,0,55,31,42,14,0,1,0,38300,0
81,192,57,192,0,8,0,55,0,0,0,52,1,14,0,0,1,21,157,2,0,14,168,0,0,52,0,0,138,0,110,31,8,0,0,8,31,120,0,55,31,129,14,0,1,1,0,0
82,0,57,35,1,8,0,55,0,0,1,52,49,14,443,1,1,228,157,10,0,14,186,1,1,52,0,0,138,0,24,31,8,0,0,8,31,6420,0,55,31,214,14,0,1,0,33960,0
83,4,57,217,1,8,0,55,0,0,1,52,90,14,993,1,1,139,157,10,0,14,69,0,1,52,0,0,138,0,167,31,8,0,0,8,31,1288,0,55,31,22,14,0,1,0,59950,0
84,0,57,142,1,8,0,55,0,0,1,53,10,14,443,1,1,209,157,17,0,14,251,0,0,53,0,0,138,0,110,31,8,0,0,8,31,7831,0,55,31,198,14,0,1,0,51098,0
85,0,57,142,1,8,0,55,0,0,1,53,142,14,443,1,1,180,157,3,0,14,250,0,1,53,0,0,138,0,185,31,8,0,0,8,31,223,0,55,31,247,14,0,1,0,53940,0
86,0,57,52,1,8,0,55,0,0,1,53,194,14,443,1,1,201,157,15,0,14,97,1,0,53,0,0,138,0,24,31,8,0,0,8,31,8228,0,55,31,32,14,0,1,0,53051,0
87,0,57,142,1,8,0,55,0,0,1,53,35,14,443,1,1,209,157,19,0,14,251,0,0,53,0,0,138,0,60,31,8,0,0,8,31,1650,0,55,31,73,14,0,1,0,57291,0
88,4,57,17,1,8,0,55,0,0,1,54,208,14,443,1,1,57,157,15,0,14,253,1,1,54,0,0,138,0,10,31,8,0,0,8,31,9226,0,55,31,34,14,0,1,0,57610,0
89,8,57,37,1,8,0,55,0,0,1,54,62,14,443,1,1,173,157,62,0,14,252,1,1,54,0,0,138,0,164,31,8,0,0,8,31,10269,0,55,31,120,14,0,1,0,63218,0
90,0,57,172,1,8,0,55,0,0,1,54,19,14,443,1,1,69,157,23,0,14,67,1,0,54,0,0,138,0,167,31,8,0,0,8,31,6383,0,55,31,3,14,0,1,0,60243,0
91,0,57,142,1,8,0,55,0,0,1,54,35,14,443,1,1,209,157,9,0,14,251,0,0,54,0,0,138,0,110,31,8,0,0,8,31,681,0,55,31,17,14,0,1,0,56883,0
92,0,57,35,1,8,0,55,0,0,1,54,49,14,443,1,1,228,157,10,0,14,186,1,1,54,0,0,138,0,22,31,8,0,0,8,31,6461,0,55,31,6,14,0,1,0,54144,0
93,0,57,142,1,8,0,55,0,0,1,54,35,14,443,1,1,209,157,36,0,14,251,0,0,54,0,0,138,0,50,31,8,0,0,8,31,3330,0,55,31,188,14,0,1,0,58779,0
94,8,57,64,1,8,0,55,0,0,1,54,234,14,443,1,1,159,157,5,0,14,15,1,1,54,0,0,138,0,90,31,8,0,0,8,31,253,0,55,31,58,14,0,1,0,49511,0
95,0,57,37,1,8,0,55,0,0,1,54,24,14,443,1,1,4,157,15,0,14,157,1,1,54,0,0,138,0,164,31,8,0,0,8,31,2710,0,55,31,120,14,0,1,0,63219,0
96,0,57,104,1,8,0,55,0,0,1,55,171,14,443,1,1,42,157,13,0,14,18,1,1,55,0,0,138,0,110,31,8,0,0,8,31,3894,0,55,31,226,14,0,1,0,62271,0
97,0,57,216,1,8,0,55,0,0,1,55,46,14,443,1,1,209,157,135,0,14,58,0,0,55,0,0,138,0,184,31,8,0,0,8,31,18456,0,55,31,193,14,0,1,0,53219,0
98,0,57,8,0,8,0,55,0,0,2,55,8,14,443,0,1,8,157,13,0,14,8,0,0,55,0,0,138,0,164,31,8,0,0,8,31,4106,0,55,31,3,14,0,1,0,63991,0
99,0,57,34,1,8,0,55,0,0,1,55,77,14,443,1,1,243,157,11,0,14,120,1,1,55,0,0,138,0,184,31,8,0,0,8,31,4796,0,55,31,70,14,0,1,0,50460,0
100,0,57,173,1,8,0,55,0,0,1,55,188,14,5228,0,1,69,157,2,0,14,194,0,0,55,0,0,138,0,164,31,8,1,0,8,31,106,0,55,31,69,14,0,0,0,59645,0
101,0,57,142,1,8,0,55,0,0,1,55,138,14,443,1,1,180,157,46,0,14,250,0,0,55,0,0,138,0,12,31,8,0,0,8,31,21966,0,55,31,183,14,0,1,0,57637,0
102,0,57,23,1,8,0,55,0,0,1,55,127,14,443,1,1,66,157,24,0,14,1,1,1,55,0,0,138,0,166,31,8,0,0,8,31,13508,0,55,31,232,14,0,1,0,54748,0
103,0,57,104,1,8,0,55,0,0,1,55,171,14,443,1,1,42,157,13,0,14,18,1,1,55,0,0,138,0,110,31,8,0,0,8,31,3893,0,55,31,226,14,0,1,0,62273,0
104,0,57,74,1,8,0,55,0,0,1,55,109,14,995,1,1,24,157,19,0,14,125,1,1,55,0,0,138,0,24,31,8,1,0,8,31,2010,0,55,31,29,14,0,1,0,62569,0
105,0,57,142,0,8,0,55,0,0,2,55,138,14,443,0,1,180,157,290,0,14,250,0,0,55,0,0,138,0,187,31,8,0,0,8,31,60792,0,55,31,136,14,0,1,0,49818,0
106,0,57,8,1,8,0,55,0,0,1,55,8,14,443,1,1,8,157,15,0,14,8,1,1,55,0,0,138,0,110,31,8,0,0,8,31,7110,0,55,31,226,14,0,1,0,62270,0
107,0,57,142,0,8,0,55,0,0,1,55,138,14,443,0,1,180,157,24,0,14,250,0,0,55,0,0,138,0,167,31,8,0,0,8,31,11201,0,55,31,164,14,0,1,0,51805,0
108,0,57,142,0,8,0,55,0,0,2,55,35,14,443,0,1,184,157,13,0,14,250,0,0,55,0,0,138,0,164,31,8,0,0,8,31,3835,0,55,31,3,14,0,1,0,63715,0
109,0,57,20,1,8,0,55,0,0,1,55,100,14,443,1,1,159,157,10,0,14,190,1,0,55,0,0,138,0,166,31,8,0,0,8,31,7899,0,55,31,146,14,0,1,0,54113,0
110,4,57,185,1,8,0,55,0,0,1,55,22,14,443,0,1,150,157,2,0,14,54,0,1,55,0,0,138,0,10,31,8,0,0,8,31,100,0,55,31,152,14,0,1,0,50621,0
111,0,57,8,1,8,0,55,0,0,1,55,8,14,443,1,1,8,157,15,0,14,8,1,1,55,0,0,138,0,110,31,8,0,0,8,31,7110,0,55,31,226,14,0,1,0,62272,0
112,0,57,142,1,8,0,55,0,0,1,55,35,14,443,1,1,184,157,49,0,14,250,0,0,55,0,0,138,0,65,31,8,0,0,8,31,4163,0,55,31,127,14,0,1,0,61910,0
113,0,57,40,1,8,0,55,0,0,1,55,49,14,443,1,1,219,157,5,0,14,74,0,0,55,0,0,138,0,25,31,8,0,0,8,31,1574,0,55,31,191,14,0,1,0,62784,0
114,0,57,31,1,8,0,55,0,0,1,55,34,14,443,1,1,86,157,2,0,14,13,0,1,55,0,0,138,0,178,31,8,0,0,8,31,158,0,55,31,254,14,0,1,0,46310,0
115,0,57,52,1,8,0,55,0,0,1,56,74,14,443,1,1,122,157,17,0,14,95,1,1,56,0,0,138,0,166,31,8,0,0,8,31,8991,0,55,31,219,14,0,1,0,48906,0
116,0,57,216,1,8,0,55,0,0,1,56,42,14,443,1,1,209,157,15,0,14,58,0,1,56,0,0,138,0,87,31,8,0,0,8,31,1398,0,55,31,70,14,0,1,0,54044,0
117,0,57,8,0,8,0,55,0,0,2,56,8,14,443,0,1,8,157,15,0,14,8,0,0,56,0,0,138,0,164,31,8,0,0,8,31,8321,0,55,31,3,14,0,1,0,55194,0
