,tr_msecond,te_day,te_minute,te_second,flg_RST,tr_second,sa2,ts_day,te_hour,tr_minute,pr,tr_day,ibyt    ,dtos,ts_msecond,flg_PSH,tr_month,ts_second,te_msecond,flg_ACK,flg_SYN,da3,dp_is_privileged,das,sp_is_privileged,sa3,tr_hour,ts_month,obyt,te_month,sa4,outlier,ts_minute,flg_FIN,sas,stos,opkt,ts_hour,da2,da1,fwd,ipkt ,sp   ,dir,sa1,da4,dp   
61,0,31,55,50,0,1,107,31,14,57,1,31,1238,0,0,1,8,50,0,1,0,106,0,0,1,42,14,8,0,8,12,0,55,0,0,0,0,14,138,157,0,6,443,0,13,30,61225
62,0,31,55,51,0,1,250,31,14,57,1,31,1982,0,0,1,8,51,0,1,0,164,0,0,1,184,14,8,0,8,37,0,55,0,0,0,0,14,138,157,0,16,443,0,142,71,50444
63,0,31,55,51,0,1,240,31,14,57,1,31,1104,0,0,1,8,51,0,1,0,165,0,0,1,231,14,8,0,8,60,0,55,0,0,0,0,14,138,157,0,10,443,0,157,233,53497
64,0,31,55,51,0,1,248,31,14,57,1,31,8862,0,0,1,8,51,0,1,1,185,0,0,1,248,14,8,0,8,43,0,55,1,0,4,0,14,138,157,0,17,443,0,17,31,53776
65,0,31,55,51,0,1,248,31,14,57,1,31,8863,0,0,1,8,51,0,1,1,185,0,0,1,248,14,8,0,8,43,0,55,1,0,4,0,14,138,157,0,17,443,0,17,31,53775
66,0,31,55,51,0,1,190,31,14,57,1,31,4790,0,0,1,8,51,0,1,1,184,0,0,1,56,14,8,0,8,82,0,55,1,0,0,0,14,138,157,0,11,443,0,35,70,50439
67,0,31,55,51,0,1,120,31,14,57,1,31,4740,0,0,1,8,51,0,1,1,184,0,0,1,243,14,8,0,8,77,0,55,1,0,0,0,14,138,157,0,10,443,0,34,70,50441
68,0,31,55,51,0,1,82,31,14,57,1,31,384,0,0,0,8,51,0,0,1,20,0,0,0,47,14,8,0,8,2,0,55,0,0,0,0,14,138,157,0,6,7294,0,74,223,2000
69,0,31,55,51,0,1,62,31,14,57,1,31,384,0,0,0,8,51,0,0,1,28,0,0,0,197,14,8,0,8,167,0,55,0,0,0,0,14,138,157,0,6,51366,0,64,244,2000
70,0,31,55,51,0,1,120,31,14,57,1,31,4796,0,0,1,8,51,0,1,1,184,0,0,1,243,14,8,0,8,77,0,55,1,0,0,0,14,138,157,0,11,443,0,34,70,50438
71,0,31,55,51,0,1,248,31,14,57,1,31,8862,0,0,1,8,51,0,1,1,185,0,0,1,248,14,8,0,8,43,0,55,1,0,4,0,14,138,157,0,17,443,0,17,31,53777
72,0,31,55,51,1,1,1,31,14,57,1,31,392,0,0,1,8,51,0,1,0,166,0,0,1,76,14,8,0,8,61,0,55,1,0,0,0,14,138,157,0,7,443,0,23,136,57878
73,0,31,55,51,0,1,125,31,14,57,1,31,5387,0,0,1,8,51,0,1,0,165,0,0,1,200,14,8,0,8,189,0,55,0,0,0,0,14,138,157,0,19,443,0,74,103,62781
74,0,31,55,51,0,1,149,31,14,57,1,31,4714,0,0,1,8,51,0,1,1,184,0,0,1,211,14,8,0,8,227,0,55,1,0,0,0,14,138,157,0,9,443,0,34,70,50437
75,0,31,55,51,0,1,149,31,14,57,1,31,4714,0,0,1,8,51,0,1,1,184,0,0,1,211,14,8,0,8,227,0,55,1,0,0,0,14,138,157,0,9,443,0,34,70,50440
76,0,31,55,51,0,1,240,31,14,57,1,31,854,0,0,1,8,51,0,1,0,60,0,0,1,231,14,8,0,8,15,0,55,0,0,0,0,14,138,157,0,14,443,0,157,71,51604
77,0,31,55,51,0,1,122,31,14,57,1,31,456,0,0,0,8,51,0,1,1,184,0,0,1,125,14,8,0,8,90,0,55,0,0,0,0,14,138,157,0,8,443,0,92,163,63870
78,0,31,55,51,0,1,251,31,14,57,1,31,1176,0,0,1,8,51,0,1,0,107,0,0,1,209,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,13,443,0,142,35,64939
79,0,31,55,52,1,1,220,31,14,57,1,31,100,0,0,0,8,52,0,1,0,167,0,0,1,226,14,8,0,8,139,0,55,0,0,0,0,14,138,157,0,2,443,0,67,34,51068
80,0,31,55,52,0,1,47,31,14,57,1,31,5162,0,0,1,8,52,0,1,1,165,0,0,1,97,14,8,0,8,238,0,55,1,0,0,0,14,138,157,0,14,443,0,20,42,38300
81,0,31,55,52,0,1,168,31,14,57,0,31,120,0,0,0,8,52,0,0,0,110,1,0,1,21,14,8,0,8,1,0,55,0,0,192,0,14,138,157,0,2,0,0,192,129,0
82,0,31,55,52,0,1,186,31,14,57,1,31,6420,0,0,1,8,52,0,1,1,24,0,0,1,228,14,8,0,8,49,0,55,1,0,0,0,14,138,157,0,10,443,0,35,214,33960
83,0,31,55,52,0,1,69,31,14,57,1,31,1288,0,0,1,8,52,0,1,0,167,0,0,1,139,14,8,0,8,90,0,55,1,0,4,0,14,138,157,0,10,993,0,217,22,59950
