,0,1,2,3,4,5,6,7,outlier
935,-70764.96190729429,59255.72463874797,-1477.4499701966936,-75.04610867894417,102.31776268935157,-34.369032362970586,-3.318055558665519,-140.8565497505084,0
731,-70620.97995057415,42636.07013830625,14383.445098531894,-99.72841935424434,24.437427152136667,41.54053989066548,-12.83576457708992,-71.22702815759328,0
928,-70642.86350795253,-19868.537128687633,-3360.973272750956,-52.866929334856685,13.170146570369091,-43.54345963119033,-17.453180159010937,54.26643390555456,0
752,-70766.08804020115,60125.466630740426,-3195.2299480762836,-72.56854044386505,119.8179250871597,-29.071687718057905,-10.354053700036856,-36.21627075879481,0
724,-70766.08694908832,60124.76390510078,-3195.941406787055,-72.56905647829711,119.81723555205193,-29.070835932340586,-10.354141401120868,-36.21590481433273,0
859,-70766.77796018981,60594.88889135553,-3173.867384703853,-5.064223876487813,-61.32279115687814,-22.282363260506884,10.611473730507031,-14.941310126176578,0
483,-70744.41844620397,44390.71989974427,12831.281412309112,117.72779735288114,-60.14663585873905,-33.39729466432306,11.80785806550007,-6.68402782023561,0
857,-70642.84822686964,-19878.430982024987,-3370.765378433436,-91.23076924660586,-3.637040046131901,66.24942016781208,-24.523619076372636,58.683520248140795,0
813,-70593.2952760055,25672.50366583223,-29958.356790270624,8.187118227665081,82.10928860712802,-24.537258968871406,-5.270173215100652,-26.88474492403555,0
769,-70593.41196470187,25757.148995585707,-30041.913605859612,13.315103612062341,-4.5605480683531505,-39.91097282470802,6.184763050396475,-6.022903541263568,0
770,-70593.12426821908,25548.693088953805,-29835.977813327674,17.525562300510146,-66.54437274823685,-51.2812318448267,13.171376170295565,4.6424307375273886,0
714,-70766.65619919726,62919.18749806971,2307.627981485283,-147.5702754708414,-127.82315338760263,70.9064355492226,1.7954680429851315,33.98607991435236,0
510,-70764.91351512459,63105.59663483956,2123.4495964779308,-153.99728429510787,-28.733470887399353,88.939897123295,-9.96141824201697,14.784553761439168,0
